text,speaker_type,section,j1_qwen3,j2_gemma3,j3_cogito,j4_qwen314b,j5_gemma12b,prelim_mv,human_label
And what has been the more challenging aspect of it all?,analyst,qa,0,0,1,1,0,0,
"I think that becomes a policy issue that, every time there comes some kind of fluctuation in the market, people panic, and the Feds got to stomp in and provide stuff.",executive,qa,0,0,1,1,1,1,
Our systematic investments have been using data and AI for 20 years.,executive,prepared,1,0,1,1,1,1,
"I think absolutely, a strong, strong performance.",ir,qa,1,0,1,1,0,1,
And I look at the opportunities in Europe similarly to the type of growth rates we saw in the U.S. over the last 5 years.,executive,qa,1,0,1,1,1,1,
I was just sort of hearing that from some of the feedback and was just curious if the RVPs were hearing that.,analyst,qa,0,0,1,0,0,0,
"So -- but I also look at it and say, there might be some folks that just got through at this stage of 2024, and they're kind of like, it's been a mediocre year.",executive,qa,0,0,1,1,0,0,
"Your customers may not be talking about tariffs, but that's all we talk about here on Wall Street, so I'll start there.",analyst,qa,0,1,1,1,1,1,
"Now as we look long term, even though we've moderated our near-term expectations for China for the remainder of this year, sport is a growth industry in China.",executive,qa,1,0,1,1,1,1,
We feel good about the fundraising progress we've made.,executive,qa,1,0,1,1,1,1,
"I'm sure, for instance, Canada is being run much more efficiently now than when you started your integration efforts.",analyst,qa,0,0,1,1,1,1,
I would say it's not high on my list because we can do it ourselves and buying people and comp plans.,executive,qa,0,0,1,1,1,1,
"And with that, we should open up our earnings call -- this is obviously a very, very special time to be at Palantir.",executive,prepared,0,0,1,0,0,0,
"All these things should be done in light of looking at what kind of public markets you want, the kind of private markets you want, what do you want in the banking system, what do you want out of the banking system.",executive,qa,0,0,1,1,0,0,
"From a timing standpoint, the 18-month period for a transaction of this magnitude is really consistent with what is reasonable to expect.",executive,qa,0,0,1,1,0,0,
"I think as you look at the company, we still feel like there's a significant amount of opportunity to drive efficiency, and that's what you see in 2025.",executive,qa,1,0,1,1,1,1,
"And it's true, the demand for Blackwell is incredible.",executive,qa,1,0,1,1,1,1,
I was just talking about the payments piece.,ir,qa,1,0,1,1,1,1,
"And again, there's no question in my mind that putting sport and the athlete back at the center of everything that we do, puts us back on offense.",executive,qa,0,0,1,1,1,1,
"And investment in what we do outside of America would be hard to do anyway because the ecosystem, a term I don't particularly like, to get this done is in America.",executive,prepared,1,0,1,1,1,1,
"And as we go forward, we expect that we will continue to broaden both customers as well as workloads within our current customers for the Instinct portfolio.",executive,qa,1,0,1,1,1,1,
Do you sense that there was any help from the macro there?,analyst,qa,1,0,1,1,1,1,
"In the mindset of that customer to 5,000, they should look at Fastenal as these folks are awesome at fasteners.",executive,qa,0,0,1,1,1,1,
This has been one of our strongest starts in BlackRock's history.,executive,prepared,1,0,1,1,1,1,
And I'm excited to update you on our progress in greater detail and to outline the next phase of our journey at our Investor Day on May 7.,ir,prepared,0,0,1,1,0,0,
But we've just had 2 good industrial index numbers for the first time in forever.,analyst,qa,1,0,1,1,1,1,
"So one, it's worth saying, although it's not directly responsive to your question, that as a company, we've been quite involved in the whole blockchain technology space for some time and through our Kinexys offering are doing a bunch of kind of really cool stuff across both wholesale -- as you know, we launched the first -- our first tokenized money market fund.",executive,qa,1,0,1,1,1,1,
"And so our mindset is always how do we organize our people and our resources, create a One GS ethos and be as connected to our clients to make the experience for our clients as seamless and as simplified and as leveraging as possible.",executive,qa,0,0,1,1,0,0,
We do have a few top-down areas of focus.,executive,qa,0,0,1,1,0,0,
"Of course, using cash to fund our growth, no company has grown at the scale that we're talking about and have the connection and the depth and the breadth of supply chain that NVIDIA has.",executive,qa,1,0,1,1,1,1,
"But as I stated before, we look at each generation of products based on what's the right product, what's the right process, what's the right market window, and what allows our customers to win.",executive,qa,1,0,1,1,1,1,
"We also took a number of other steps to sharpen our business focus and improve returns by right placing businesses to better capture synergies, exiting certain businesses in markets that just didn't fit with our strategy and rightsizing the workforce in wealth.",ir,prepared,0,1,1,1,1,1,
And so we've got room to continue to return that to shareholders.,executive,qa,1,0,1,1,1,1,
"As we continue to grow our revenues, we should be able to deliver better and better efficiency.",executive,qa,1,0,1,1,1,1,
So we're in a kind of the pole position in that regard.,executive,qa,0,0,1,1,0,0,
"Executives - Executive Vice Chairman and Senior Executive Advisor to Chair & CEO
And Mike, if I could just put one number into context because you played back the 11,000, which was a number of global regulatory reports across the landscape here.",ir,qa,0,0,1,1,0,0,
"And we're working closely with our partners, Pou Sheng and Topsports, to adapt our approach.",executive,qa,0,0,1,1,1,1,
We're cross-collateralized against if there's any issues with individual loans.,executive,qa,1,0,1,1,1,1,
"But out on the printer, there's a sign, ""Help our branch and Onsites hit their sales goals in 2024.""",executive,prepared,0,0,1,0,1,0,
That is speculative just looking at the pharmaceutical landscape and where national security interest may reside and what products that those are delivered from.,executive,qa,0,1,1,1,1,1,
The other side of things is the product side.,executive,qa,0,0,1,1,1,1,
But they want to do it differently than they did in the past.,executive,prepared,0,0,1,1,1,1,
"It's -- By the way, for those of you who are evaluating our company, we are going to invite all of you to our bootcamps.",executive,prepared,0,0,0,1,1,0,
I think there's a huge awakening of understanding the power of retirement that flows through the capital markets.,executive,qa,1,0,1,1,1,1,
"Because when it's all said and done, they want and need from us is to drive mutually profitable growth for them and for us, and that's exactly what we're going to get back to.",executive,qa,0,0,1,1,0,0,
And I'd say we're in the middle innings of our comeback.,executive,prepared,0,0,1,1,1,1,
And that means that we always have software that's so far in the future that it will meet the moment that the DoD actually has.,executive,prepared,0,0,1,1,1,1,
"And so we're on that journey, and we're going to continue to move in that direction.",executive,qa,0,0,1,0,0,0,
"And as we take a look at our portfolio, and even despite other new competitors that are coming in, we do believe with OPSUMIT and UPTRAVI, they've got very strong usage and both with the launch of OPSYNVI as well as what we have, that these will continue to be really productive assets and a good therapeutic area for us.",executive,qa,1,0,1,1,1,1,
"In terms of Amazon, they serve a very focused consumer, and we're using them as part of -- and partnering with them as part of to grow the overall integrated marketplace.",executive,qa,1,0,1,1,1,1,
"And look, I think on the revenue side, I'd just come back to the broader opportunity that we have to grow across each of the businesses.",executive,qa,1,0,1,1,1,1,
"We also teamed up with Foot Locker to introduce a new concept, Home Court, in their doors with a shared vision to deliver a fresh, new multi-brand basketball experience.",executive,prepared,0,0,1,1,1,1,
"I was lucky enough to be at Augusta earlier that week, and I couldn't help but relate Rory's experience to NIKE's recent journey.",executive,prepared,0,0,1,1,0,0,
Their unwavering commitment to our customers and to our transformation is what positions us to become a best-in-class company.,ir,prepared,0,0,1,1,0,0,
"And the second thing and this happened a few years ago, read an article about a retirement community in Florida during the hurricane, they were without power and without resources for a few days.",executive,prepared,0,0,1,0,0,0,
Most important is kind of building up the IP portfolio so that we can serve the customer.,executive,qa,1,0,1,1,1,1,
Now let's discuss the cadence of the growth through the quarter.,executive,prepared,1,0,1,1,0,1,
"Actually, there was increased demand from a speed perspective within it.",executive,qa,1,0,1,1,1,1,
"You need the throughput to be high so that the cost could be as low as possible, but you also need the latency to be low.",executive,qa,1,0,1,1,1,1,
Do you think things get better by the time we get to the end of the fiscal year?,analyst,qa,1,0,1,1,1,1,
"I think when you think about just the efficiency agenda, I was -- as we keep saying over and over, I think we still think there's a significant amount to do across the company.",executive,qa,1,0,1,1,1,1,
"But at some point soon, that will start to -- we would expect that to stabilize, but we'll see exactly where it does.",executive,qa,0,0,1,1,1,1,
"Against this backdrop, we remain focused on what we can control.",ir,prepared,0,0,1,0,0,0,
"And was that the same as last quarter, same assumption set?",analyst,qa,1,0,1,1,1,1,
"As you know, that is largely driven by our ability to generate more U.S. income, which we're also very focused on.",ir,qa,1,0,1,1,1,1,
We don't have much federal business to speak of.,executive,qa,1,0,1,1,1,1,
"I'd say on dividends, we recognize very much that dividend income and growth is an important part of many of our investors' portfolios.",executive,qa,0,0,1,1,1,1,
"I guess I'll just repeat what we've said in the past, which is we think that there continue to be meaningful efficiencies around the company, but we also are investing in both spending whatever we need to spend in the risk and regulatory space as well as investing for the future.",executive,qa,0,0,1,1,1,1,
And we were able to study all the containers coming in and had conversations.,executive,qa,0,0,1,1,1,1,
Our third action is to accelerate a complete product portfolio.,executive,prepared,1,0,1,1,1,1,
"We have the best FICC business in the world, one of the best equity business in the world.",executive,qa,1,0,1,1,1,1,
"And when I'm looking at it, I'm looking out to '27, '28, what is the bank that we want to be in terms of our strategy, our performance, our culture, all those different dimensions.",ir,qa,1,0,1,1,1,1,
"So just think of branches, that does our private bank or things like that.",executive,qa,0,0,1,0,1,0,
"And I do believe we will have, post-closing, some amazing opportunities and then, therefore, some amazing announcements.",executive,qa,0,0,1,1,0,0,
I wouldn't really pay attention to all that noise in the system.,executive,qa,0,0,1,1,1,1,
You can see that in our results again this quarter.,ir,qa,1,0,1,1,1,1,
"Economic growth, policy uncertainty, geopolitical developments and market volatility are factors we continue to monitor closely.",executive,prepared,0,1,1,1,0,1,
"While market conditions tempered execution for IPOs and sponsor activity broadly, we believe that activity levels will rebound once conditions stabilize.",executive,prepared,1,0,1,1,1,1,
"The biggest, I think, complexity to the conversation is things like what's the court system going to say about it?",executive,qa,1,0,1,1,1,1,
I am very proud of our senior leadership and the entire organization as we demonstrate the potential of our unique global franchise.,ir,prepared,0,0,1,1,0,0,
And those will be important factors as to how the loss rates continue to evolve over time.,ir,qa,1,0,1,1,1,1,
We continue to believe we are managing costs effectively.,executive,prepared,1,0,1,1,1,1,
But does Q2 get worse before it gets better?,analyst,qa,1,0,1,1,1,1,
"There's a surprising amount of dimorphism that comes out of the ivory tower, the folks who are doing AI research.",executive,prepared,0,0,1,1,1,1,
"But I would say that like what is -- we spend almost all of our time thinking about are the organic opportunities that we have, given how constrained we have been and our ability to think differently about those things now.",executive,qa,1,0,1,1,1,1,
"So as a result, the biggest driver in the CIB is really generic inflation, including labor as well as again, to the prior question, volume and revenue-related increases tied to the improved NIR outlook.",executive,qa,1,0,1,1,1,1,
"But again, it doesn't attract a lot of capital or bring with it.",executive,qa,0,0,0,1,1,0,
Now everyone is really concerned about DOGE with the change of administration.,analyst,prepared,1,0,1,1,1,1,
"Executives - CEO & Chair of the Board
Let me just -- so let me just be clear about where the ones that we've just done and that we're working on through the organization simplification.",ir,qa,0,0,1,0,0,0,
"With respect to how we think about Groq and the low latency decoder, I've got some great ideas that I'd like to share with you at GTC.",executive,qa,1,0,1,1,1,1,
We did center on the midpoint of our range and I think it's fair to say that where we ultimately land will be determined by a variety of variables.,executive,qa,1,0,1,1,1,1,
"Transactors, we have a number of transactors that have kind of come on to our portfolio and are in the mix of our branded portfolio as well.",ir,qa,0,0,1,1,1,1,
"We've locked in some of our most important team franchises for the long term, which strategically puts us at a great position in the world of sport.",executive,qa,0,0,1,1,1,1,
And then you're going to see hopefully start to see some more growth come out of it that will also help from an NII perspective.,executive,qa,1,0,1,1,1,1,
"By 2026, schedule has already been filled with rich dialogue with CEOs, sovereign wealth funds, pension funds, insurance CIOs, wealth managers and governments.",executive,prepared,0,0,1,1,1,1,
Do you feel the business is managed better?,analyst,qa,1,0,1,1,1,1,
"Is this a message that you feel like you've captured most of the CRE-related issues, of course, absent of a further deterioration in the economy?",analyst,qa,1,0,1,1,1,1,
We welcomed approximately 800 new colleagues to BlackRock following the close of the HPS transaction.,executive,prepared,1,0,1,1,1,1,
And I just want to be clear on why that's the case.,analyst,qa,0,0,1,0,0,0,
"I want to close by turning to Slide 11, repeating how excited I am about the momentum we are building and for all the opportunities we have to produce higher growth and returns.",ir,prepared,0,0,1,1,0,0,
"But I would say the one thing of caution is, over the last 15 years, we've seen a broadening of interest in the U.S. capital markets.",executive,qa,0,1,1,1,1,1,
We are currently developing the plan for submission to the OCC.,ir,prepared,0,0,1,1,1,1,
But we asked Casey -- Jeff Watts asked Casey to run the U.S. business and put the best people in the best roles for us to find success of the organization.,executive,qa,0,0,1,1,1,1,
"It's almost like science, research and science.",executive,qa,0,0,0,1,0,0,
We haven't had those conversations to budget the CapEx.,executive,qa,1,0,1,1,1,1,
"And what I will say, we will lead with a sharp focus on sport.",executive,qa,0,0,1,1,1,1,
But what is the flow-through that we can kind of expect on a net basis?,analyst,qa,1,0,1,1,1,1,
"And can you put -- you or Jeremy, put some meat on the bones as far as what's been an ideal scenario?",analyst,qa,0,0,1,1,1,1,
That includes market conditions with the ultimate goal of maximizing value for shareholders.,ir,qa,0,0,1,1,0,0,
We want to minimize the cost of their supply chain.,executive,qa,1,0,1,1,1,1,
"I think -- I don't know about your model, but that is how we really look at the numbers, how we think about it.",executive,qa,1,0,1,0,1,1,
And so this is going to likely be a very significant business over time.,executive,qa,1,0,1,1,1,1,
It's my pleasure to present results for the fourth quarter and full year 2024.,executive,prepared,0,0,1,1,0,0,
Now turning to our third quarter 2024 outlook.,ir,prepared,1,1,1,1,0,1,
And what we're witnessing in other countries that we're seeing big success in India and Brazil in the digitization of their own currency for various different reasons.,executive,qa,1,0,1,1,1,1,
"And because of that, we're starting to see those teams deliver the innovation.",executive,qa,1,0,1,1,1,1,
"It does look like the continent of Europe will look to the past as a way of getting to the future, struggles with the idea that all the valuable technology in this area is built in America, perhaps struggles with the fact that to make LLMs work, you would have to find a way to build something like an Ontology.",executive,prepared,0,0,1,1,0,0,
"Today, I will review our third quarter results and provide context on the progress we have made.",executive,prepared,0,0,1,1,0,0,
"Dave will then discuss our overall financial results, including third quarter guidance, before we transition to answer your questions.",ir,prepared,0,0,1,1,1,1,
We're deeply embedded in these other countries.,executive,qa,1,0,1,1,1,1,
"I said this in my comments, that means make loans, take deposits, provide more liquidity in the markets, which banks are supposed to do.",executive,qa,1,0,1,1,1,1,
"In fact, the entire exec committee was in the continent in June to show support for the team.",executive,qa,0,0,1,1,1,1,
"We, as a nation, must reindustrialize to prevent escalating conflict and regain deterrence.",executive,prepared,0,0,1,0,0,0,
"And obviously, the great news that we just described has Clearwater Forest taping out.",executive,qa,0,0,1,1,1,1,
"And so I think, again, it's a combination of market and our own execution.",executive,qa,0,0,1,1,1,1,
"And as market conditions continue to persist and they open up, that should provide us with incremental opportunities, and we'll continue to reduce the other components of our historical principal investments in line with our strategy.",executive,qa,1,0,1,1,1,1,
And when banks have -- I already mentioned the constrained balance sheet a little bit.,executive,qa,0,0,1,1,1,1,
And so I believe there's a huge win there for Fastenal in the years to come.,executive,qa,1,0,1,1,1,1,
We're seeing the effects across our entire customer base.,executive,prepared,1,0,1,1,1,1,
"And so we're confident that once we get these pilots performing the way that we want to, both we and our partners are prepared to invest to turn the business in the direction that we want to head.",executive,qa,1,0,1,1,1,1,
"One, you started to talk about the annual incentive compensation and to add to the points that was made earlier in our prepared remarks, as last year, our AIC payouts were well below target.",executive,qa,1,0,1,1,1,1,
And so we continue to see significant activity on the M&A front.,executive,qa,1,0,1,1,1,1,
"I will say and I'll say it very bluntly, we are confident that we have a highly competitive catheter in VARIPULSE.",executive,qa,1,0,1,1,1,1,
Our outlook reflects industry-wide conditions without any meaningful change in our market share expectations.,ir,prepared,1,0,0,1,1,1,
"And as you said, it is a really exciting time to be in electrophysiology.",executive,qa,0,0,1,1,0,0,
You present that circumstance to a vision language model.,executive,qa,0,0,1,1,0,0,
Another important driver of improved financial performance is the cost reduction plan we announced today.,ir,prepared,1,0,1,1,1,1,
"It fits with Citi's strategy for all the reasons we've talked about in the past, we're the best owner of the corporate franchise we have there.",ir,qa,1,0,1,1,1,1,
And the rest of the other market I consider is collectively lumped as enterprise.,executive,qa,0,0,0,0,1,0,
"Keep in mind that the free trade agreement, we're not necessarily talking about product that's going from country to country.",executive,qa,0,0,1,1,1,1,
There's also an area where you don't have a lot of sort of longer-term investment.,analyst,qa,0,0,1,1,1,1,
"And those 2 things are powerful things in any environment, but especially a constrained supply environment.",executive,qa,0,0,1,1,1,1,
And so the challenge is the complexity of the problem is much higher.,executive,qa,0,0,1,1,1,1,
"There was a little bit higher growth in wealth, both in the fourth quarter and the year.",analyst,qa,1,0,1,1,1,1,
"Now I don't want to underestimate how much has to continue changing, and I think the department recognizes that and is working on that, but to not acknowledge the progress, I think, would be disingenuous here.",executive,prepared,0,0,1,1,1,1,
"It was his for the taking, an amazing reminder for NIKE that no matter the situation we face, we're the leader in an exciting industry.",executive,prepared,0,0,1,1,0,0,
"In surgery, we are making progress on multiple fronts.",ir,prepared,1,0,1,1,1,1,
It's unleashing incredible speed and productivity for our FDEs and customer developers alike.,executive,prepared,1,0,1,1,1,1,
"And with that, we're improving our competitiveness.",executive,qa,0,0,1,1,1,1,
"A and B, now that everyone knows this, this is by far the best credential in tech.",executive,prepared,0,0,1,1,0,0,
We have the most qualified interesting people heterodox on their beliefs.,executive,prepared,0,0,1,0,1,0,
"There's clearly some very significant opportunities, not for nothing, starting with technology developers themselves, in terms of the opportunity for significantly increased productivity there.",executive,qa,1,0,1,1,1,1,
"And so we're super excited about that, and there'll be other devices with different payloads to come over time.",executive,qa,0,0,1,1,1,1,
I will say that the tone from the RVPs was fairly universal about that sentiment continuing to get better heading into next year.,executive,qa,1,0,1,1,1,1,
"We build products with TSMC, Samsung and Intel.",executive,qa,1,0,1,1,1,1,
"Executives - CEO & Chairman
Overall, health care demand remains solid, and we feel good about the rest of the year regarding procedures and use of pharmaceuticals.",executive,qa,1,0,1,1,1,1,
Are you happy with the mix of partners you have now?,analyst,qa,1,0,1,1,0,1,
"And that is where our teams have been focused, and that's where you'll continue to see us trying to drive growth and improve profitability across both dimensions of the marketplace.",executive,qa,1,0,1,1,1,1,
"We increased our investments last year, as you know.",ir,qa,0,0,1,1,1,1,
"If you don't, you're going to get it all wrong.",executive,qa,1,0,1,1,1,1,
"And as -- what that would obviously equate to is us getting closer to a 12.6%, as I think I said in my prepared remarks, where over the course of the next number of quarters we'll be working our way down towards kind of a 12.6% which would represent that 100 basis points.",ir,qa,1,0,1,1,1,1,
"But yes, we have to get the work done, validate it, and then hand it over to the regulators in the process we talked about.",ir,qa,0,0,1,1,0,0,
But the price fatigue is we all get tired of talking about that because we'd rather talk about growth.,executive,qa,0,1,1,1,1,1,
Is this still kind of a reasonable bogey that you're shooting for?,analyst,qa,1,0,1,1,1,1,
And we're operating at almost as our target states.,ir,qa,1,0,1,1,1,1,
"And with regard to your question on surface, it's predominantly Ground.",executive,qa,1,0,1,1,1,1,
"I'm going to start with the firm-wide financial results, focusing on year-over-year comparisons for the third quarter, unless I indicate otherwise, and then spend a little more time on the businesses.",ir,prepared,1,1,1,1,0,1,
"Our focus remains on delivering BlackRock's platform to clients through access to unique opportunities, expertise and world-class client service.",executive,prepared,0,0,1,1,0,0,
"In terms of priorities and investments, really nothing has changed.",executive,qa,0,0,0,1,0,0,
"And I think the point that I would make to you is -- it's very, very difficult to predict what is going to happen over the next 30 to 60 days or even further.",executive,qa,0,0,1,0,0,0,
"And then when you look at deposits, we come into the first quarter, you see noninterest-bearing down a little, interest-bearing up a little bit.",executive,qa,1,0,1,1,1,1,
"And I guess, to what degree are you aiding them in this efforts?",analyst,qa,1,0,1,1,1,1,
"Executives - Chief Financial Officer
And Chris, I mean, just to follow up on it, I'm sure you see this clearly, but the returns that we've been generating have been with the quantum of capital that we've been required to hold.",executive,qa,1,0,1,1,0,1,
Those are companies that borrow in private credit.,executive,qa,0,1,1,0,1,1,
"I mean, a number of them have been clients for over a century.",ir,qa,0,0,1,0,0,0,
But we are in constant dialogue with our partners and our friends in the Middle East.,executive,qa,0,0,1,0,0,0,
"Up until now, it has been hard for us to participate in the level of playing field as you talked about.",ir,qa,0,0,1,1,1,1,
"As Mark mentioned, our investment in Viridium is the latest example of our commitment to supporting partners through broad solution sets, including investments, capital and insurance expertise.",executive,prepared,0,0,1,1,1,1,
"And so it's some individual names that sort of move it around quarter-to-quarter, but nothing systemic as you sort of look at it that we can see.",executive,qa,0,0,1,1,1,1,
We've been at the forefront of advocacy for retirement solutions through our whole history.,executive,qa,0,0,1,1,0,0,
"And that seems to be increasingly the consensus, that, that's going to get announced at some point in the fourth quarter.",executive,qa,0,0,1,1,1,1,
"So Brie, maybe just to follow up on the demand environment.",analyst,qa,0,0,1,1,0,0,
Our relationship with governments across the world is giving us a real opportunity.,executive,qa,1,0,1,1,1,1,
"To that end, we are always seeking ways to enhance the client experience while improving efficiency.",executive,prepared,0,0,1,1,0,0,
"And that, in the past, we didn't engage that.",executive,qa,0,0,0,1,1,0,
And then we're going to take a different approach.,executive,qa,0,0,1,0,1,0,
And you have strong growth in everything.,analyst,qa,1,0,1,1,1,1,
Deposit flows for both our consumer and commercial clients were in line with seasonal trends.,ir,prepared,1,0,1,1,1,1,
Or will these infrastructures remain fairly distinct?,analyst,qa,1,0,1,1,1,1,
And then whenever we get the revenue growth the operating leverage is going to be really strong.,analyst,qa,1,0,1,1,1,1,
"So just the closing of GIP, it's a great milestone in BlackRock's history.",executive,qa,0,0,1,1,1,1,
"In addition to that, as you know, we are the market share leader in large package, and the team has done a brilliant job of actually keeping the port cities clear.",executive,qa,1,0,1,1,1,1,
"On Intel 14A, the team continue to focus on technology definition, transistor architecture, process flow, design enablement and foundation IPs.",ir,prepared,1,0,1,1,1,1,
"But as you all can see, it's a very large, substantial market opportunity.",executive,qa,1,0,1,1,1,1,
"Leveraging the firm's investment platform, global network and banking capabilities, they work tirelessly to deliver unique and tailored solutions to our ultra-high net worth clients.",executive,prepared,0,0,1,1,0,0,
"And in all of David's comments that he made with respect to the flywheel and the catalyzing of activity, because the growth in the backlog is driven by advisory, we're also trying to give our investors the sense that, that could in turn drive other pieces of activity across the firm, other types of activity that doesn't get registered in backlog and doesn't lend itself to that type of reporting metric.",executive,qa,0,1,1,1,1,1,
But the -- what we saw in India and what we're trying to do and bring out and expand its retirement system platform there is a good example of the expansion of the global capital markets.,executive,qa,1,0,1,1,1,1,
And as we get -- the indication from the guidance is that you expect that to continue.,analyst,qa,1,0,1,1,0,1,
And so what you're going to see over the course of the year is us managing down to that target.,ir,qa,1,0,1,1,1,1,
"As a reminder, favorable patient mix was a driver in Q2 2023 through Q1 2024.",executive,prepared,0,0,1,1,1,1,
And we think that it allows us to build portfolios that take appropriate levels of risk across the working life and manage different levels of portfolio liquidity.,executive,qa,1,0,1,1,1,1,
"There is seasonality, I know in markets.",analyst,qa,0,0,1,1,0,0,
So the dynamics of the profile of our traffic changed.,executive,qa,1,0,1,1,1,1,
"On Slide 12, we show our summary balance sheet and key capital liquidity metrics.",ir,prepared,0,1,1,1,1,1,
I mean it's -- we obviously have an internal base scenario we've run.,ir,qa,0,0,1,1,1,1,
"Number two, we're excellent at every phase of AI.",executive,qa,0,0,1,1,1,1,
"And Ken, I'm just happy to clarify from a Network 2.0 perspective, the Canada plan has not changed.",executive,qa,1,0,1,1,1,1,
So some of the -- I'm going to give you some things that you can actually do.,executive,qa,0,0,1,0,0,0,
I think what we're seeing so far is exactly what we expected to see at the beginning of the year.,executive,qa,1,0,0,1,1,1,
And 1 just a follow-up on NII and your outlook.,analyst,qa,1,0,1,1,1,1,
"But I do think we need to be a little bit careful not to fall into the trap of saying that, that's like progress just because the original proposal was so dramatically higher than what anyone thought was reasonable.",executive,qa,0,1,1,1,0,1,
"At the same time, we are even more confident in where we are headed.",executive,prepared,0,0,1,0,0,0,
And we're leveraging active ETFs to provide access to our portfolio managers inside along with the benefits of the ETF wrapper.,executive,prepared,1,0,1,1,1,1,
"Executives - CEO & Chairman
Well, I think -- listen, I think, first of all, I think we all agree that the underlying issue of focusing on affordability which is people have been experiencing for some time, which we pointed out multiple times when we look at those who have less savings with us than others, is a real issue.",executive,qa,1,0,1,1,0,1,
"Consistently, we're seeing very strong uptake and rapid adoption, whether we're in the U.S., Germany, Austria, France, the major markets that have launched to date.",executive,qa,1,0,1,1,1,1,
Maybe can you give a little bit more color on kind of -- you mentioned the peak was strong.,analyst,qa,1,0,1,1,1,1,
So the vast majority of it is investment-grade rated.,executive,qa,1,0,1,1,1,1,
"We're in every cloud, we're in every -- we can even make you a little tiny cloud called DGX Spark.",executive,qa,0,0,1,1,1,1,
"And so part of it is by adding that inventory, it shows a different kind of availability.",executive,qa,0,0,1,1,1,1,
"And then we can also just say that -- and Dan alluded to this already, we will continue to go after pricing.",executive,qa,1,0,1,1,1,1,
We also have a much smaller portion with regard to the change in our calendar fiscal year.,executive,qa,0,0,0,1,1,0,
"And as we launched this quarter, we also have the x86 ecosystem advisory.",executive,qa,0,0,0,1,1,0,
"So it's still open at this time, and we're not exactly sure what that full amount will be this quarter.",executive,qa,1,0,1,1,1,1,
"I would tell you, on 14A, we're off to a great start.",executive,qa,0,0,1,1,1,1,
We have added significant talent over the past several years and will continue to do so in targeted areas where we see opportunities for growth.,ir,prepared,1,0,1,1,1,1,
And you have very similar use cases in underwriting and in health care.,executive,prepared,1,0,1,1,1,1,
Turning to our international government business.,executive,prepared,0,0,1,1,1,1,
"I think, by and large, our industry is a rational industry.",executive,qa,0,0,1,0,0,0,
