direction,mv7_label,mv5_label,speaker_type,section,ticker,quarter,j1_qwen3,j2_gemma3,j3_cogito,j4_qwen314b,j5_gemma12b,j6_ministral3,j7_cogito14b,text
BP→SB,boilerplate,substantive,executive,qa,FAST,Q3-2024,0,0,1,1,0,1,0,"I don't know if he's nailed it down yet, but we'll be getting that information out shortly."
BP→SB,boilerplate,substantive,executive,qa,GS,Q2-2024,0,0,1,1,1,0,0,"So that is, I think, a large explain of the delta."
BP→SB,boilerplate,substantive,executive,prepared,PLTR,Q1-2025,0,0,0,1,1,1,0,"You could give underwriters unlimited time, 2, 3, 4 weeks."
BP→SB,boilerplate,substantive,executive,qa,AMD,Q4-2023,0,0,1,1,1,0,0,So it's important to have those forecasts in early.
BP→SB,boilerplate,substantive,executive,qa,GS,Q1-2024,0,0,1,0,1,1,0,So I think that is something you can look out for in future periods.
BP→SB,boilerplate,substantive,executive,qa,AVGO,Q1-2024,0,0,1,1,0,0,1,"All I do say is I have no interest in going into a market where -- we have a philosophy in running our business, Broadcom, and maybe other people have a different philosophy."
BP→SB,boilerplate,substantive,executive,qa,FDX,Q3-2026,0,0,1,1,0,1,0,"So hopefully, that puts it in picture -- gives you a context and understanding of how we guided you for the full fiscal year."
BP→SB,boilerplate,substantive,executive,prepared,PLTR,Q3-2025,0,0,1,1,0,0,1,"I don't know all the efforts we're involved in, but to the extent we're involved in these efforts, I and most Palantirians are very proud of this."
BP→SB,boilerplate,substantive,executive,prepared,NKE,Q3-2026,0,0,1,1,0,1,0,"Our teams are moving with focus and urgency, and our foundation is getting even stronger."
BP→SB,boilerplate,substantive,executive,qa,GS,Q4-2025,0,0,1,1,0,1,0,"And so we're keenly focused on the evolution of that in the coming years, and that's something you'll hear us talk more about."
BP→SB,boilerplate,substantive,executive,prepared,FDX,Q4-2025,0,0,1,1,0,0,1,I want to commend the entire organization for our focus on creating vast differentiation and showing up for our customers.
BP→SB,boilerplate,substantive,executive,prepared,BLK,Q1-2024,0,0,1,1,0,1,0,"And I look forward at BlackRock to be delivering on a significant broad base of opportunities across the world, across our platform, across all of our products and delivering the responsible fiduciary responsibilities that we provide to each and every client."
BP→SB,boilerplate,substantive,executive,prepared,PLTR,Q2-2024,0,0,1,1,1,0,0,"I think it's going to lead to a very different way of looking at our company in all areas, including financial areas because it's like when you're making assertions, you need avant-garde innovators to look at it and say, okay, well, this is something that's not quite there but I think it could work."
BP→SB,boilerplate,substantive,executive,prepared,BLK,Q1-2025,0,0,1,1,0,1,0,"Together, we know how to invest in, own them, improve on them and operate them."
BP→SB,boilerplate,substantive,executive,qa,INTC,Q4-2024,0,0,1,1,1,0,0,"Obviously, we want to have external customers."
BP→SB,boilerplate,substantive,executive,qa,WFC,Q1-2024,0,0,1,1,0,1,0,And so I think that trend you saw a couple of years ago was definitely different.
BP→SB,boilerplate,substantive,executive,qa,FAST,Q2-2025,0,0,1,1,1,0,0,And some of those are still up in the air based on what happens.
BP→SB,boilerplate,substantive,executive,prepared,PLTR,Q4-2024,0,0,1,1,1,0,0,"And that M Day was yesterday, the time to mobilize comp."
BP→SB,boilerplate,substantive,executive,prepared,JNJ,Q2-2025,0,0,1,1,0,1,0,And I'd like to highlight a few noteworthy items that have changed compared to the same quarter a year ago.
BP→SB,boilerplate,substantive,executive,prepared,PLTR,Q4-2024,0,0,1,1,1,0,0,"You could think about, okay, what if I'm building enterprise software for many customers?"
BP→SB,boilerplate,substantive,executive,qa,AMD,Q1-2025,0,0,1,1,0,1,0,"And so for all of those reasons, we're pleased with where the performance of the business is right now."
BP→SB,boilerplate,substantive,executive,qa,JPM,Q4-2025,0,0,1,1,0,1,0,"I mean that space is always very competitive, I would say, has been throughout this entire cycle."
BP→SB,boilerplate,substantive,executive,prepared,PLTR,Q4-2024,0,0,1,1,1,0,0,And then the question that Shyam's is answering is also but why is it hard to build it.
BP→SB,boilerplate,substantive,executive,qa,FAST,Q4-2024,0,0,1,1,0,1,0,We measure -- we are successful in the buckets that we're successful in because we bring something special to that type of customer.
BP→SB,boilerplate,substantive,executive,qa,NKE,Q2-2026,0,0,1,1,0,0,1,"Angela, who is our GM in Greater China, is now part of my SLT, Senior Leadership Team, and I look forward to working with her and the rest of our team more closely."
BP→SB,boilerplate,substantive,executive,qa,JPM,Q2-2025,0,0,1,1,1,0,0,And so we don't want regulators to need to make unusual corrections amid crises.
BP→SB,boilerplate,substantive,executive,qa,NKE,Q1-2026,0,0,1,1,1,0,0,We had some really good successes in running this quarter and then some basketball successes around Ja and LeBron.
BP→SB,boilerplate,substantive,executive,prepared,FAST,Q1-2024,0,0,1,1,0,1,0,And our digital footprint continues to expand.
BP→SB,boilerplate,substantive,executive,prepared,JNJ,Q1-2025,0,0,1,1,0,1,0,"Joe Wolk, our CFO, will then close by sharing an overview of our cash position, capital allocation priorities and guidance for 2025; Jennifer Taubert, Executive Vice President, Worldwide Chairman, Innovative Medicine; and Tim Schmid, Executive Vice President, Worldwide Chairman, MedTech, will be joining us for Q&A."
BP→SB,boilerplate,substantive,executive,qa,INTC,Q4-2024,0,0,1,1,1,0,0,"We want to be doing more than what we promised to every turn, to every stakeholder, including investors, including customers, including suppliers, so what have you."
BP→SB,boilerplate,substantive,executive,qa,FDX,Q3-2025,0,0,1,1,0,1,0,"We have a terrific team that, after every rollout, we take the learnings and apply it to the next one and the next one and so on, so we get better going forward."
BP→SB,boilerplate,substantive,executive,qa,INTC,Q2-2024,0,0,0,1,1,0,1,We've worked closely with the CHIPS program office in the U.S. government.
BP→SB,boilerplate,substantive,executive,prepared,FAST,Q1-2024,0,0,1,1,0,1,0,"Now before turning to Q&A, I wanted to offer a higher level perspective on the quarter."
BP→SB,boilerplate,substantive,executive,qa,BLK,Q3-2025,0,0,1,1,0,1,0,"In order to build an asset allocation portfolio that can mix stocks, bonds, crypto, commodities and the like."
BP→SB,boilerplate,substantive,executive,prepared,PLTR,Q4-2024,0,0,1,1,0,0,1,"I think we could start by thinking about, if I was building software to solve problems for one company, well, you don't need an Ontology."
BP→SB,boilerplate,substantive,executive,prepared,GS,Q1-2024,0,0,1,1,0,1,0,We also remain committed to paying our shareholders a sustainable and growing dividend.
BP→SB,boilerplate,substantive,executive,qa,AMD,Q4-2024,0,0,1,1,1,0,0,Just given where seasonality is for those businesses.
BP→SB,boilerplate,substantive,executive,prepared,BLK,Q4-2023,0,0,1,1,0,1,0,"Companies recognize the uniqueness of our global relationships, our brand and our expertise across businesses, markets and industries."
BP→SB,boilerplate,substantive,executive,prepared,BLK,Q2-2024,0,0,1,1,0,1,0,"We believe this will deepen our relationships with our clients and deliver value to you, our shareholders."
BP→SB,boilerplate,substantive,executive,prepared,GS,Q2-2024,0,0,1,1,0,0,1,"In closing, I'm very confident about the state of our client franchise."
BP→SB,boilerplate,substantive,executive,qa,JPM,Q1-2024,0,0,1,1,1,0,0,The second thing is the why does that happen?
BP→SB,boilerplate,substantive,executive,qa,GS,Q1-2024,0,0,1,1,0,1,0,We try to create the right culture of focus and intensity that allows us to continue to deliver and execute for them.
BP→SB,boilerplate,substantive,executive,qa,JPM,Q1-2024,0,0,1,1,0,1,0,"Obviously, equity markets have been under a little bit of pressure the last few days."
BP→SB,boilerplate,substantive,executive,prepared,BLK,Q1-2025,0,0,1,1,0,0,1,"At BlackRock, we are -- we really challenge ourselves not to get mired down in all the negativity, but to navigate, to mitigate the move forward, to work with each and every client, to help each and every client."
BP→SB,boilerplate,substantive,executive,prepared,FAST,Q2-2025,0,0,1,1,0,1,0,Now moving on to Slide 4 and looking at our customer site performance.
BP→SB,boilerplate,substantive,executive,qa,NVDA,Q3-2025,0,0,1,1,0,1,0,"AI is transforming every industry, company and country."
BP→SB,boilerplate,substantive,executive,qa,NKE,Q3-2025,0,0,1,1,1,0,0,"Number two, we just got out of a rhythm of working closely with our wholesale partners."
BP→SB,boilerplate,substantive,executive,prepared,BLK,Q4-2024,0,0,1,1,0,1,0,"We invested in our talent, which is fundamentally the most important thing that we invest in each and every year."
BP→SB,boilerplate,substantive,executive,qa,FDX,Q3-2024,0,0,1,1,0,1,0,But we're always looking to fill the pipeline as well on additional opportunities.
BP→SB,boilerplate,substantive,executive,qa,NVDA,Q1-2026,0,0,1,1,0,1,0,"And so in those 4 -- the control plane of the network, which is used for storage, it's used for security."
BP→SB,boilerplate,substantive,executive,prepared,BLK,Q2-2025,0,0,1,1,0,1,0,We design and deliver strategies and products that fit their unique long-term needs and aspirations.
BP→SB,boilerplate,substantive,executive,qa,FAST,Q1-2025,0,0,1,1,1,0,0,Or is this something that's going to be announced on Wednesday and canceled on Friday?
BP→SB,boilerplate,substantive,executive,qa,AVGO,Q2-2025,0,0,1,1,1,0,0,"Just as well, you don't need to create new systems for the sake of doing something that you could easily be doing in networking in Ethernet."
BP→SB,boilerplate,substantive,executive,qa,WFC,Q4-2024,0,0,1,1,0,1,0,"And I think, Ed's super excited about both what we've done, but continuing to execute along the lines that we've laid out for you all."
BP→SB,boilerplate,substantive,ir,qa,C,Q3-2025,0,0,1,0,1,1,0,And those 2 have been our North Stars as we've been going through this process.
BP→SB,boilerplate,substantive,ir,prepared,C,Q4-2025,0,0,1,1,0,1,0,And I'm excited to update you on our progress in greater detail and to outline the next phase of our journey at our Investor Day on May 7.
BP→SB,boilerplate,substantive,ir,qa,C,Q2-2024,0,0,1,1,0,1,0,"Executives - Executive Vice Chairman and Senior Executive Advisor to Chair & CEO
And Mike, if I could just put one number into context because you played back the 11,000, which was a number of global regulatory reports across the landscape here."
BP→SB,boilerplate,substantive,ir,prepared,WFC,Q4-2025,0,0,1,1,0,1,0,Their unwavering commitment to our customers and to our transformation is what positions us to become a best-in-class company.
BP→SB,boilerplate,substantive,ir,prepared,WFC,Q3-2025,0,0,1,1,0,1,0,"I want to close by turning to Slide 11, repeating how excited I am about the momentum we are building and for all the opportunities we have to produce higher growth and returns."
BP→SB,boilerplate,substantive,ir,qa,C,Q4-2025,0,0,1,1,0,1,0,That includes market conditions with the ultimate goal of maximizing value for shareholders.
BP→SB,boilerplate,substantive,ir,qa,C,Q4-2025,0,0,1,1,0,1,0,"But yes, we have to get the work done, validate it, and then hand it over to the regulators in the process we talked about."
BP→SB,boilerplate,substantive,ir,prepared,NVDA,Q2-2026,0,0,0,1,0,1,1,"Our products are designed and sold for beneficial commercial use, and every license sale we make will benefit the U.S. economy, the U.S. leadership."
BP→SB,boilerplate,substantive,ir,qa,C,Q1-2024,0,0,1,1,0,1,0,"We keep a close eye on execution, making sure we've got the right level of resourcing and expertise."
BP→SB,boilerplate,substantive,ir,qa,C,Q4-2024,0,0,1,1,0,1,0,And it will be beneficial for both our growth and our returns.
BP→SB,boilerplate,substantive,ir,prepared,C,Q3-2025,0,0,1,1,0,1,0,"And the best part is, there is much more upside ahead."
BP→SB,boilerplate,substantive,ir,prepared,WFC,Q3-2024,0,0,1,1,0,1,0,"We continue to move forward with confidence and believe we have the right culture, team, discipline and sense of urgency to complete the work that's required."
BP→SB,boilerplate,substantive,ir,prepared,AMD,Q1-2024,0,0,1,1,0,1,0,Turning to our broader Data Center portfolio.
BP→SB,boilerplate,substantive,ir,prepared,C,Q4-2023,0,0,1,1,0,1,0,"Now turning to the left side of the slide, where we show our financial results for the full FERC."
BP→SB,boilerplate,substantive,ir,prepared,FDX,Q3-2026,0,0,1,1,0,1,0,"In closing, we delivered a strong quarter while successfully navigating a dynamic environment."
BP→SB,boilerplate,substantive,ir,qa,C,Q2-2024,0,0,1,1,0,1,0,We have been and we will be transparent when we have issues and how we are addressing them.
BP→SB,boilerplate,substantive,ir,prepared,INTC,Q2-2024,0,0,1,1,0,1,0,We do not take this lightly and we have carefully considered the impact this will have on the Intel family.
BP→SB,boilerplate,substantive,ir,prepared,C,Q1-2024,0,0,1,1,0,1,0,"Amidst all these dynamics, we continue to focus on executing against our strategy and delivering the best of Citi to all our stakeholders."
BP→SB,boilerplate,substantive,ir,qa,C,Q2-2025,0,0,1,1,0,1,0,And so we're mindful of how tight they're running.
BP→SB,boilerplate,substantive,ir,qa,C,Q4-2024,0,0,1,0,0,1,1,We've been bringing in some great new talent.
BP→SB,boilerplate,substantive,ir,prepared,C,Q1-2025,0,0,1,1,0,1,0,We appreciate the administration taking a fresh look at regulations across all industries to unlock growth.
BP→SB,boilerplate,substantive,ir,prepared,FDX,Q2-2025,0,0,1,1,0,1,0,I'm very pleased with how our teams are navigating a condensed period between Thanksgiving and Christmas.
BP→SB,boilerplate,substantive,ir,qa,C,Q3-2024,0,0,1,1,1,0,0,And enough for us to kind of see a more normal level of credit.
SB→BP,substantive,boilerplate,analyst,qa,FAST,Q1-2024,1,1,1,1,0,0,0,I was just curious what was the decision-making process to do that?
SB→BP,substantive,boilerplate,analyst,qa,C,Q4-2025,1,1,1,1,0,0,0,"I didn't plan to ask this question, but this literally just hit the Bloomberg."
SB→BP,substantive,boilerplate,executive,qa,JPM,Q3-2025,1,1,1,0,1,0,0,"In some areas, we might have some disagreements at the margin."
